County Name,Median Home Price Q4 2023,Monthly Payment Q4 2023,Monthly Payment Q4 2022
"San Joaquin County,  California","$550,960 ","$3,400 ","$3,110 "
"Pierce County,  Washington","$550,070 ","$3,390 ","$3,130 "
"Rappahannock County,  Virginia","$547,610 ","$3,380 ","$2,960 "
"Charleston County,  South Carolina","$547,290 ","$3,380 ","$2,850 "
"Larimer County,  Colorado","$546,820 ","$3,370 ","$3,140 "
"Kootenai County,  Idaho","$546,560 ","$3,370 ","$3,180 "
"Washington County,  Utah","$544,300 ","$3,360 ","$3,070 "
"Salt Lake County,  Utah","$543,120 ","$3,350 ","$3,110 "
"Washoe County,  Nevada","$542,130 ","$3,350 ","$3,080 "
"Davis County,  Utah","$540,140 ","$3,330 ","$3,080 "
"Washington County,  Rhode Island","$539,170 ","$3,330 ","$2,870 "
"Chaffee County,  Colorado","$538,240 ","$3,320 ","$2,990 "
"Multnomah County,  Oregon","$536,980 ","$3,310 ","$3,100 "
"Hawaii County,  Hawaii","$536,790 ","$3,310 ","$3,110 "
"Prince William County,  Virginia","$536,370 ","$3,310 ","$2,980 "
"Clark County,  Washington","$536,170 ","$3,310 ","$3,090 "
"Union County,  New Jersey","$534,310 ","$3,300 ","$2,900 "
"Somerset County,  New Jersey","$531,640 ","$3,280 ","$2,890 "
"Chelan County,  Washington","$529,590 ","$3,270 ","$2,860 "
"Benton County,  Oregon","$529,340 ","$3,270 ","$3,020 "
"Essex County,  New Jersey","$528,320 ","$3,260 ","$2,870 "
"Rockingham County,  New Hampshire","$526,680 ","$3,250 ","$2,810 "
"Albemarle County,  Virginia","$526,160 ","$3,250 ","$2,830 "
"Douglas County,  Nevada","$525,760 ","$3,240 ","$3,080 "
"San Bernardino County,  California","$524,390 ","$3,240 ","$2,930 "
"Bronx County,  New York","$523,730 ","$3,230 ","$2,840 "
"La Plata County,  Colorado","$520,360 ","$3,210 ","$2,890 "
"Clarke County,  Virginia","$519,730 ","$3,210 ","$2,880 "
"Clear Creek County,  Colorado","$518,970 ","$3,200 ","$2,940 "
"Thurston County,  Washington","$513,830 ","$3,170 ","$2,830 "
"Hunterdon County,  New Jersey","$513,460 ","$3,170 ","$2,790 "
"Cape May County,  New Jersey","$510,190 ","$3,150 ","$2,610 "
