County Name,Median Home Price Q4 2023,Monthly Payment Q4 2023,Monthly Payment Q4 2022
"Lincoln County,  Wyoming","$337,990 ","$2,090 ","$1,890 "
"Tulare County,  California","$337,920 ","$2,080 ","$1,860 "
"Benton County,  Arkansas","$337,530 ","$2,080 ","$1,780 "
"Hamilton County,  Tennessee","$337,160 ","$2,080 ","$1,760 "
"Greene County,  Georgia","$336,660 ","$2,080 ","$1,790 "
"Sevier County,  Tennessee","$336,570 ","$2,080 ","$1,830 "
"Pima County,  Arizona","$336,560 ","$2,080 ","$1,840 "
"Douglas County,  Kansas","$336,140 ","$2,070 ","$1,790 "
"Laramie County,  Wyoming","$335,630 ","$2,070 ","$1,960 "
"Madison County,  Virginia","$334,800 ","$2,070 ","$1,810 "
"Clarke County,  Georgia","$334,060 ","$2,060 ","$1,790 "
"Barrow County,  Georgia","$334,020 ","$2,060 ","$1,830 "
"Currituck County,  North Carolina","$333,710 ","$2,060 ","$1,820 "
"Yellowstone County,  Montana","$333,500 ","$2,060 ","$1,920 "
"Kendall County,  Illinois","$333,180 ","$2,060 ","$1,810 "
"Wahkiakum County,  Washington","$333,180 ","$2,060 ","$1,850 "
"Knox County,  Tennessee","$332,750 ","$2,050 ","$1,770 "
"Madison County,  Idaho","$332,360 ","$2,050 ","$1,880 "
"Blount County,  Tennessee","$332,090 ","$2,050 ","$1,770 "
"Fairbanks North Star Borough,  Alaska","$332,050 ","$2,050 ","$1,790 "
"Gem County,  Idaho","$331,690 ","$2,050 ","$1,890 "
"Chatham County,  Georgia","$331,000 ","$2,040 ","$1,690 "
"Trinity County,  California","$330,750 ","$2,040 ","$1,890 "
"Dawson County,  Georgia","$330,530 ","$2,040 ","$1,820 "
"Wayne County,  Utah","$330,470 ","$2,040 ","$1,840 "
"Inyo County,  California","$330,450 ","$2,040 ","$1,890 "
"Paulding County,  Georgia","$330,320 ","$2,040 ","$1,810 "
"Sandoval County,  New Mexico","$330,120 ","$2,040 ","$1,830 "
"Belknap County,  New Hampshire","$329,700 ","$2,030 ","$1,720 "
"Cecil County,  Maryland","$329,320 ","$2,030 ","$1,840 "
"Delaware County,  Pennsylvania","$329,320 ","$2,030 ","$1,840 "
"Kane County,  Illinois","$329,010 ","$2,030 ","$1,790 "
"Stillwater County,  Montana","$328,670 ","$2,030 ","$1,840 "
"Montrose County,  Colorado","$328,340 ","$2,030 ","$1,820 "
"Pasco County,  Florida","$327,830 ","$2,020 ","$1,780 "
"Transylvania County,  North Carolina","$327,560 ","$2,020 ","$1,730 "
"Boundary County,  Idaho","$326,520 ","$2,010 ","$1,850 "
"Northumberland County,  Virginia","$326,420 ","$2,010 ","$1,760 "
"Taos County,  New Mexico","$326,050 ","$2,010 ","$1,820 "
"Rice County,  Minnesota","$325,950 ","$2,010 ","$1,820 "
"Juab County,  Utah","$325,180 ","$2,010 ","$1,870 "
"Kaufman County,  Texas","$325,100 ","$2,010 ","$1,840 "
"Atlantic County,  New Jersey","$325,020 ","$2,010 ","$1,680 "
"Ellis County,  Texas","$323,660 ","$2,000 ","$1,830 "
"St. Charles County,  Missouri","$323,640 ","$2,000 ","$1,750 "
"Ramsey County,  Minnesota","$322,840 ","$1,990 ","$1,820 "
"Box Elder County,  Utah","$322,840 ","$1,990 ","$1,790 "
"Kent County,  Maryland","$322,580 ","$1,990 ","$1,700 "
"Cook County,  Illinois","$322,380 ","$1,990 ","$1,750 "
"Will County,  Illinois","$321,850 ","$1,990 ","$1,750 "
"Washington County,  Maryland","$321,120 ","$1,980 ","$1,650 "
"Lake County,  Florida","$320,830 ","$1,980 ","$1,780 "
"Duval County,  Florida","$320,710 ","$1,980 ","$1,800 "
"Morgan County,  Georgia","$320,590 ","$1,980 ","$1,700 "
"Kent County,  Delaware","$320,510 ","$1,980 ","$1,790 "
"Tarrant County,  Texas","$320,380 ","$1,980 ","$1,810 "
"Northampton County,  Pennsylvania","$320,030 ","$1,970 ","$1,700 "
"Blanco County,  Texas","$319,670 ","$1,970 ","$1,800 "
"Winchester city,  Virginia","$319,170 ","$1,970 ","$1,740 "
"Clay County,  Florida","$319,150 ","$1,970 ","$1,790 "
"Walworth County,  Wisconsin","$318,820 ","$1,970 ","$1,690 "
"Sarpy County,  Nebraska","$317,680 ","$1,960 ","$1,720 "
"Jefferson County,  West Virginia","$317,530 ","$1,960 ","$1,760 "
"Pennington County,  South Dakota","$317,400 ","$1,960 ","$1,730 "
"Centre County,  Pennsylvania","$317,200 ","$1,960 ","$1,800 "
"Baldwin County,  Alabama","$316,990 ","$1,960 ","$1,770 "
"Latah County,  Idaho","$316,990 ","$1,960 ","$1,800 "
"Crow Wing County,  Minnesota","$316,470 ","$1,950 ","$1,760 "
"Olmsted County,  Minnesota","$315,020 ","$1,940 ","$1,720 "
"Midland County,  Texas","$314,890 ","$1,940 ","$1,660 "
"Lehigh County,  Pennsylvania","$314,560 ","$1,940 ","$1,670 "
"Plumas County,  California","$314,430 ","$1,940 ","$1,800 "
"Lancaster County,  Virginia","$314,160 ","$1,940 ","$1,700 "
"Grays Harbor County,  Washington","$313,870 ","$1,940 ","$1,750 "
"Augusta County,  Virginia","$313,840 ","$1,940 ","$1,700 "
"Bay County,  Florida","$313,630 ","$1,940 ","$1,820 "
"Bryan County,  Georgia","$313,620 ","$1,940 ","$1,600 "
"Jefferson County,  Oregon","$313,530 ","$1,930 ","$1,780 "
"Volusia County,  Florida","$312,950 ","$1,930 ","$1,780 "
"Iron County,  Utah","$312,910 ","$1,930 ","$1,740 "
"McHenry County,  Illinois","$312,760 ","$1,930 ","$1,700 "
"Douglas County,  Georgia","$312,660 ","$1,930 ","$1,720 "
"Yakima County,  Washington","$312,250 ","$1,930 ","$1,740 "
"Putnam County,  Tennessee","$312,230 ","$1,930 ","$1,700 "
"Columbia County,  New York","$312,200 ","$1,930 ","$1,650 "
"Henry County,  Georgia","$311,920 ","$1,920 ","$1,710 "
"Lyon County,  Nevada","$311,920 ","$1,920 ","$1,820 "
"Greenville County,  South Carolina","$311,880 ","$1,920 ","$1,680 "
"Whitman County,  Washington","$311,680 ","$1,920 ","$1,730 "
"Washington County,  Vermont","$311,150 ","$1,920 ","$1,610 "
"Greene County,  Virginia","$311,010 ","$1,920 ","$1,670 "
"Kane County,  Utah","$310,930 ","$1,920 ","$1,730 "
"Columbia County,  Georgia","$310,750 ","$1,920 ","$1,690 "
"Middlesex County,  Virginia","$310,510 ","$1,920 ","$1,680 "
"Bannock County,  Idaho","$310,440 ","$1,920 ","$1,820 "
"Watauga County,  North Carolina","$310,440 ","$1,920 ","$1,640 "
"Leon County,  Florida","$310,420 ","$1,920 ","$1,670 "
"Custer County,  South Dakota","$310,400 ","$1,920 ","$1,710 "
"Hendricks County,  Indiana","$309,960 ","$1,910 ","$1,670 "
"Hampden County,  Massachusetts","$309,060 ","$1,910 ","$1,640 "
"Chisago County,  Minnesota","$308,340 ","$1,900 ","$1,740 "
"Horry County,  South Carolina","$308,150 ","$1,900 ","$1,660 "
"Wise County,  Texas","$308,050 ","$1,900 ","$1,740 "
"Fayette County,  Kentucky","$307,930 ","$1,900 ","$1,670 "
"Galveston County,  Texas","$307,600 ","$1,900 ","$1,710 "
"Johnson County,  Wyoming","$307,560 ","$1,900 ","$1,720 "
"Madison County,  Alabama","$307,400 ","$1,900 ","$1,720 "
"Alachua County,  Florida","$307,140 ","$1,900 ","$1,630 "
"Warren County,  Virginia","$307,070 ","$1,890 ","$1,700 "
"Lancaster County,  Pennsylvania","$306,850 ","$1,890 ","$1,670 "
"Washington County,  Arkansas","$306,740 ","$1,890 ","$1,620 "
"Kings County,  California","$306,490 ","$1,890 ","$1,740 "
"Cass County,  Missouri","$306,150 ","$1,890 ","$1,660 "
"Imperial County,  California","$305,870 ","$1,890 ","$1,700 "
"Bartow County,  Georgia","$305,470 ","$1,880 ","$1,680 "
"Johnson County,  Indiana","$305,210 ","$1,880 ","$1,640 "
"Dallas County,  Texas","$305,170 ","$1,880 ","$1,730 "
"Butler County,  Pennsylvania","$305,120 ","$1,880 ","$1,660 "
"Johnston County,  North Carolina","$305,020 ","$1,880 ","$1,680 "
"Towns County,  Georgia","$304,630 ","$1,880 ","$1,620 "
"Delta County,  Colorado","$304,610 ","$1,880 ","$1,690 "
"Lake County,  California","$304,390 ","$1,880 ","$1,740 "
"Storey County,  Nevada","$304,390 ","$1,880 ","$1,730 "
"Wasco County,  Oregon","$304,350 ","$1,880 ","$1,730 "
"Orleans Parish,  Louisiana","$304,190 ","$1,880 ","$1,760 "
"Spencer County,  Kentucky","$303,970 ","$1,880 ","$1,670 "
"Jefferson County,  Wisconsin","$303,470 ","$1,870 ","$1,610 "
"Kent County,  Michigan","$303,060 ","$1,870 ","$1,630 "
"Guadalupe County,  Texas","$302,990 ","$1,870 ","$1,720 "
"Lamoille County,  Vermont","$302,980 ","$1,870 ","$1,570 "
"Albany County,  Wyoming","$302,680 ","$1,870 ","$1,690 "
"Sullivan County,  New York","$302,400 ","$1,870 ","$1,600 "
"Gloucester County,  New Jersey","$302,340 ","$1,870 ","$1,690 "
"Cook County,  Minnesota","$301,670 ","$1,860 ","$1,680 "
"Effingham County,  Georgia","$301,460 ","$1,860 ","$1,540 "
"Berkeley County,  West Virginia","$301,310 ","$1,860 ","$1,550 "
"Pend Oreille County,  Washington","$300,920 ","$1,860 ","$1,670 "
"Franklin County,  Ohio","$300,900 ","$1,860 ","$1,620 "
"Fairfield County,  Ohio","$300,690 ","$1,860 ","$1,620 "
"Bernalillo County,  New Mexico","$300,610 ","$1,850 ","$1,670 "
"Cheshire County,  New Hampshire","$300,510 ","$1,850 ","$1,570 "
"Hood County,  Texas","$300,270 ","$1,850 ","$1,690 "
"Glynn County,  Georgia","$300,120 ","$1,850 ","$1,540 "
"Umatilla County,  Oregon","$299,960 ","$1,850 ","$1,710 "
"Bastrop County,  Texas","$299,640 ","$1,850 ","$1,800 "
"Door County,  Wisconsin","$299,630 ","$1,850 ","$1,590 "
"Albany County,  New York","$299,550 ","$1,850 ","$1,590 "
"Glenn County,  California","$299,520 ","$1,850 ","$1,720 "
"Mohave County,  Arizona","$298,510 ","$1,840 ","$1,690 "
"Nelson County,  Virginia","$297,280 ","$1,830 ","$1,600 "
"Grant County,  Washington","$296,950 ","$1,830 ","$1,650 "
"Sanders County,  Montana","$296,550 ","$1,830 ","$1,660 "
"Hernando County,  Florida","$296,390 ","$1,830 ","$1,610 "
"Limestone County,  Alabama","$296,370 ","$1,830 ","$1,650 "
"Medina County,  Ohio","$296,220 ","$1,830 ","$1,580 "
"Llano County,  Texas","$296,150 ","$1,830 ","$1,670 "
"Hancock County,  Indiana","$296,130 ","$1,830 ","$1,590 "
"Bedford County,  Virginia","$295,490 ","$1,820 ","$1,690 "
"Haines Borough,  Alaska","$295,360 ","$1,820 ","$1,680 "
"Montezuma County,  Colorado","$295,300 ","$1,820 ","$1,640 "
"Lincoln County,  Maine","$295,230 ","$1,820 ","$1,610 "
"Newton County,  Georgia","$294,790 ","$1,820 ","$1,620 "
"Granite County,  Montana","$294,470 ","$1,820 ","$1,650 "
"Brazoria County,  Texas","$293,910 ","$1,810 ","$1,630 "
"Warren County,  New York","$293,830 ","$1,810 ","$1,500 "
"Sierra County,  California","$293,440 ","$1,810 ","$1,680 "
"Sagadahoc County,  Maine","$293,300 ","$1,810 ","$1,560 "
"Fluvanna County,  Virginia","$292,750 ","$1,810 ","$1,570 "
"Johnson County,  Texas","$292,230 ","$1,800 ","$1,650 "
"Butler County,  Ohio","$292,190 ","$1,800 ","$1,550 "
"Lincoln County,  North Carolina","$292,140 ","$1,800 ","$1,600 "
"Chambers County,  Texas","$291,710 ","$1,800 ","$1,620 "
"Gloucester County,  Virginia","$291,640 ","$1,800 ","$1,590 "
"Montgomery County,  Tennessee","$291,570 ","$1,800 ","$1,620 "
"Adams County,  Idaho","$291,370 ","$1,800 ","$1,650 "
"Boone County,  Missouri","$291,200 ","$1,800 ","$1,550 "
"Boone County,  Kentucky","$290,990 ","$1,800 ","$1,550 "
"Brazos County,  Texas","$290,590 ","$1,790 ","$1,530 "
"Louisa County,  Virginia","$290,290 ","$1,790 ","$1,550 "
"Morgan County,  Colorado","$289,970 ","$1,790 ","$1,610 "
"Rockdale County,  Georgia","$289,930 ","$1,790 ","$1,590 "
"Stevens County,  Washington","$289,540 ","$1,790 ","$1,610 "
"Roanoke County,  Virginia","$289,530 ","$1,790 ","$1,560 "
"Douglas County,  Minnesota","$289,480 ","$1,790 ","$1,610 "
"Stearns County,  Minnesota","$289,340 ","$1,790 ","$1,550 "
"Beaverhead County,  Montana","$289,270 ","$1,780 ","$1,620 "
"Custer County,  Idaho","$289,010 ","$1,780 ","$1,640 "
"Polk County,  Florida","$288,690 ","$1,780 ","$1,550 "
"Pueblo County,  Colorado","$288,430 ","$1,780 ","$1,700 "
"Harris County,  Georgia","$287,970 ","$1,780 ","$1,590 "
"Cass County,  North Dakota","$287,790 ","$1,780 ","$1,620 "
"Loudon County,  Tennessee","$287,420 ","$1,770 ","$1,530 "
"Kenai Peninsula Borough,  Alaska","$286,880 ","$1,770 ","$1,630 "
"Pierce County,  Wisconsin","$286,630 ","$1,770 ","$1,620 "
"Del Norte County,  California","$286,440 ","$1,770 ","$1,640 "
"Norfolk city,  Virginia","$286,330 ","$1,770 ","$1,570 "
"Camden County,  North Carolina","$286,310 ","$1,770 ","$1,520 "
"Madison County,  Mississippi","$286,280 ","$1,770 ","$1,630 "
"Licking County,  Ohio","$286,160 ","$1,770 ","$1,540 "
"Minnehaha County,  South Dakota","$286,030 ","$1,760 ","$1,560 "
"Caroline County,  Maryland","$286,010 ","$1,760 ","$1,500 "
"Johnson County,  Iowa","$285,720 ","$1,760 ","$1,590 "
"Washington County,  Nebraska","$285,650 ","$1,760 ","$1,540 "
"Mineral County,  Montana","$285,530 ","$1,760 ","$1,600 "
"Porter County,  Indiana","$285,480 ","$1,760 ","$1,550 "
"Rich County,  Utah","$285,220 ","$1,760 ","$1,580 "
"Botetourt County,  Virginia","$284,780 ","$1,760 ","$1,530 "
"Fayette County,  Tennessee","$284,660 ","$1,760 ","$1,640 "
"Washington County,  Tennessee","$284,500 ","$1,760 ","$1,500 "
"St. Louis County,  Missouri","$284,370 ","$1,750 ","$1,530 "
"Fannin County,  Georgia","$284,300 ","$1,750 ","$1,510 "
"Sauk County,  Wisconsin","$284,180 ","$1,750 ","$1,510 "
"Gilmer County,  Georgia","$283,860 ","$1,750 ","$1,510 "
"Le Sueur County,  Minnesota","$283,330 ","$1,750 ","$1,580 "
"Clay County,  Missouri","$282,900 ","$1,750 ","$1,530 "
"Monroe County,  Indiana","$282,620 ","$1,740 ","$1,590 "
"Camden County,  New Jersey","$282,550 ","$1,740 ","$1,580 "
"Lawrence County,  South Dakota","$282,170 ","$1,740 ","$1,560 "
"Franklin County,  North Carolina","$282,160 ","$1,740 ","$1,560 "
"Coos County,  Oregon","$281,990 ","$1,740 ","$1,600 "
"Sweet Grass County,  Montana","$281,790 ","$1,740 ","$1,570 "
"Douglas County,  Nebraska","$281,570 ","$1,740 ","$1,520 "
"Allegan County,  Michigan","$281,420 ","$1,740 ","$1,480 "
"Bradley County,  Tennessee","$281,210 ","$1,740 ","$1,420 "
"Franklin County,  Vermont","$281,180 ","$1,730 ","$1,530 "
"Crook County,  Wyoming","$280,980 ","$1,730 ","$1,570 "
"Sanpete County,  Utah","$280,720 ","$1,730 ","$1,560 "
"Natrona County,  Wyoming","$280,640 ","$1,730 ","$1,510 "
"Lee County,  North Carolina","$280,600 ","$1,730 ","$1,490 "
"Vilas County,  Wisconsin","$280,340 ","$1,730 ","$1,480 "
"Waller County,  Texas","$280,220 ","$1,730 ","$1,560 "
"Harrisonburg city,  Virginia","$280,180 ","$1,730 ","$1,530 "
"Leavenworth County,  Kansas","$280,010 ","$1,730 ","$1,520 "
"Tuscaloosa County,  Alabama","$279,970 ","$1,730 ","$1,490 "
"Windham County,  Vermont","$279,810 ","$1,730 ","$1,450 "
"Polk County,  North Carolina","$279,730 ","$1,730 ","$1,480 "
"Windsor County,  Vermont","$279,470 ","$1,720 ","$1,450 "
"Knox County,  Maine","$278,570 ","$1,720 ","$1,510 "
"Pickens County,  Georgia","$278,300 ","$1,720 ","$1,530 "
"St. Tammany Parish,  Louisiana","$278,160 ","$1,720 ","$1,610 "
"Lancaster County,  Nebraska","$277,970 ","$1,720 ","$1,550 "
"Woodford County,  Kentucky","$277,900 ","$1,710 ","$1,500 "
"Lee County,  Alabama","$277,600 ","$1,710 ","$1,530 "
"Cascade County,  Montana","$277,100 ","$1,710 ","$1,440 "
"Carroll County,  Georgia","$277,030 ","$1,710 ","$1,520 "
"Jefferson County,  Idaho","$276,980 ","$1,710 ","$1,650 "
"Burnet County,  Texas","$276,850 ","$1,710 ","$1,560 "
"Clay County,  North Carolina","$276,330 ","$1,700 ","$1,460 "
"Monroe County,  Pennsylvania","$276,300 ","$1,700 ","$1,510 "
"Fremont County,  Colorado","$276,280 ","$1,700 ","$1,530 "
"Gaston County,  North Carolina","$276,160 ","$1,700 ","$1,520 "
"Harris County,  Texas","$275,830 ","$1,700 ","$1,530 "
"Caroline County,  Virginia","$275,700 ","$1,700 ","$1,470 "
"Union County,  Georgia","$275,560 ","$1,700 ","$1,460 "
"Prince George County,  Virginia","$274,610 ","$1,690 ","$1,470 "
"King William County,  Virginia","$274,510 ","$1,690 ","$1,460 "
"Moore County,  Tennessee","$274,020 ","$1,690 ","$1,490 "
"Cumberland County,  Pennsylvania","$273,820 ","$1,690 ","$1,510 "
"Monroe County,  Illinois","$273,400 ","$1,690 ","$1,480 "
"Wilson County,  Texas","$273,360 ","$1,690 ","$1,550 "
"Clermont County,  Ohio","$273,190 ","$1,690 ","$1,450 "
"Lumpkin County,  Georgia","$272,600 ","$1,680 ","$1,450 "
"Elko County,  Nevada","$272,210 ","$1,680 ","$1,590 "
"Payette County,  Idaho","$272,100 ","$1,680 ","$1,540 "
"Bennington County,  Vermont","$271,970 ","$1,680 ","$1,410 "
"Rensselaer County,  New York","$271,940 ","$1,680 ","$1,440 "
"Emmet County,  Michigan","$271,710 ","$1,680 ","$1,430 "
"Adams County,  Pennsylvania","$271,630 ","$1,680 ","$1,490 "
"Franklin County,  Idaho","$271,480 ","$1,680 ","$1,560 "
"Klamath County,  Oregon","$271,480 ","$1,680 ","$1,540 "
"Cheatham County,  Tennessee","$271,370 ","$1,670 ","$1,520 "
"Miami County,  Kansas","$271,120 ","$1,670 ","$1,470 "
"Union County,  South Dakota","$271,100 ","$1,670 ","$1,480 "
"Anderson County,  Tennessee","$270,860 ","$1,670 ","$1,440 "
"Kenosha County,  Wisconsin","$270,830 ","$1,670 ","$1,470 "
"Outagamie County,  Wisconsin","$270,570 ","$1,670 ","$1,450 "
"Isanti County,  Minnesota","$269,970 ","$1,670 ","$1,520 "
"Phillips County,  Colorado","$269,900 ","$1,670 ","$1,500 "
"Berks County,  Pennsylvania","$269,620 ","$1,660 ","$1,440 "
"Christian County,  Missouri","$269,590 ","$1,660 ","$1,450 "
"Eau Claire County,  Wisconsin","$269,160 ","$1,660 ","$1,430 "
"Kerr County,  Texas","$269,010 ","$1,660 ","$1,510 "
"Benzie County,  Michigan","$268,740 ","$1,660 ","$1,410 "
"Meade County,  South Dakota","$268,540 ","$1,660 ","$1,470 "
"Brown County,  Wisconsin","$268,430 ","$1,660 ","$1,460 "
"Hancock County,  Maine","$267,990 ","$1,650 ","$1,460 "
"Holmes County,  Ohio","$267,790 ","$1,650 ","$1,430 "
"Harnett County,  North Carolina","$267,220 ","$1,650 ","$1,410 "
"Stark County,  North Dakota","$267,010 ","$1,650 ","$1,480 "
"Williams County,  North Dakota","$266,800 ","$1,650 ","$1,480 "
"Forsyth County,  North Carolina","$266,680 ","$1,650 ","$1,460 "
"Glasscock County,  Texas","$266,530 ","$1,640 ","$1,500 "
"Real County,  Texas","$266,220 ","$1,640 ","$1,500 "
"Shenandoah County,  Virginia","$266,120 ","$1,640 ","$1,440 "
"Warrick County,  Indiana","$266,080 ","$1,640 ","$1,450 "
"Escambia County,  Florida","$266,060 ","$1,640 ","$1,500 "
"Bexar County,  Texas","$265,770 ","$1,640 ","$1,510 "
"Jasper County,  South Carolina","$265,740 ","$1,640 ","$1,420 "
"Hampton city,  Virginia","$265,610 ","$1,640 ","$1,450 "
"Ascension Parish,  Louisiana","$265,460 ","$1,640 ","$1,570 "
"Camden County,  Missouri","$265,380 ","$1,640 ","$1,440 "
"Idaho County,  Idaho","$265,340 ","$1,640 ","$1,500 "
"Goodhue County,  Minnesota","$265,200 ","$1,640 ","$1,480 "
"Hunt County,  Texas","$265,010 ","$1,640 ","$1,500 "
"Northampton County,  Virginia","$264,720 ","$1,630 ","$1,430 "
"Yuma County,  Arizona","$264,630 ","$1,630 ","$1,450 "
"Blue Earth County,  Minnesota","$264,560 ","$1,630 ","$1,480 "
"Uintah County,  Utah","$264,520 ","$1,630 ","$1,470 "
"Campbell County,  Kentucky","$264,460 ","$1,630 ","$1,410 "
"Columbia County,  Wisconsin","$264,060 ","$1,630 ","$1,410 "
"Polk County,  Iowa","$263,880 ","$1,630 ","$1,470 "
"Ferry County,  Washington","$263,850 ","$1,630 ","$1,470 "
"Siskiyou County,  California","$263,830 ","$1,630 ","$1,510 "
"Jackson County,  North Carolina","$263,820 ","$1,630 ","$1,400 "
"Daggett County,  Utah","$263,790 ","$1,630 ","$1,470 "
"Dunn County,  North Dakota","$263,350 ","$1,620 ","$1,460 "
"Pacific County,  Washington","$263,230 ","$1,620 ","$1,460 "
"Greene County,  Ohio","$263,110 ","$1,620 ","$1,450 "
"Jefferson Parish,  Louisiana","$262,880 ","$1,620 ","$1,520 "
"Mason County,  Texas","$262,610 ","$1,620 ","$1,480 "
"Grundy County,  Illinois","$262,480 ","$1,620 ","$1,430 "
"Fayette County,  Texas","$262,300 ","$1,620 ","$1,480 "
"Westmoreland County,  Virginia","$262,250 ","$1,620 ","$1,420 "
"Okanogan County,  Washington","$262,180 ","$1,620 ","$1,460 "
"Dodge County,  Minnesota","$261,950 ","$1,620 ","$1,430 "
"Guilford County,  North Carolina","$261,550 ","$1,610 ","$1,430 "
"Converse County,  Wyoming","$261,360 ","$1,610 ","$1,460 "
"Androscoggin County,  Maine","$261,200 ","$1,610 ","$1,440 "
"Warren County,  Kentucky","$261,190 ","$1,610 ","$1,500 "
"Lemhi County,  Idaho","$261,130 ","$1,610 ","$1,480 "
"Shelby County,  Kentucky","$261,040 ","$1,610 ","$1,440 "
"DeSoto County,  Mississippi","$260,790 ","$1,610 ","$1,500 "
"Floyd County,  Indiana","$260,200 ","$1,610 ","$1,430 "
"Becker County,  Minnesota","$260,100 ","$1,600 ","$1,450 "
"Wicomico County,  Maryland","$260,060 ","$1,600 ","$1,440 "
"Citrus County,  Florida","$259,770 ","$1,600 ","$1,390 "
"Beaver County,  Utah","$259,400 ","$1,600 ","$1,440 "
"Rabun County,  Georgia","$258,940 ","$1,600 ","$1,380 "
"Bristol Bay Borough,  Alaska","$258,800 ","$1,600 ","$1,470 "
"Moffat County,  Colorado","$258,720 ","$1,600 ","$1,440 "
"Story County,  Iowa","$258,560 ","$1,600 ","$1,460 "
"Orange County,  Vermont","$258,540 ","$1,600 ","$1,340 "
"Racine County,  Wisconsin","$258,470 ","$1,590 ","$1,380 "
"Scott County,  Kentucky","$258,270 ","$1,590 ","$1,400 "
"Morton County,  North Dakota","$257,980 ","$1,590 ","$1,440 "
"Clay County,  Minnesota","$257,710 ","$1,590 ","$1,450 "
"Lebanon County,  Pennsylvania","$257,310 ","$1,590 ","$1,330 "
"Campbell County,  Wyoming","$257,310 ","$1,590 ","$1,440 "
"Macomb County,  Michigan","$257,050 ","$1,590 ","$1,400 "
"Hamilton County,  Ohio","$257,030 ","$1,590 ","$1,370 "
"Chippewa County,  Wisconsin","$256,450 ","$1,580 ","$1,360 "
"Washington County,  Texas","$256,210 ","$1,580 ","$1,440 "
"Jefferson County,  Kentucky","$256,190 ","$1,580 ","$1,410 "
"Newport News city,  Virginia","$255,940 ","$1,580 ","$1,400 "
"Franklin County,  Florida","$255,860 ","$1,580 ","$1,370 "
"Hubbard County,  Minnesota","$255,820 ","$1,580 ","$1,430 "
"Georgetown County,  South Carolina","$255,820 ","$1,580 ","$1,360 "
"Richland County,  Montana","$255,590 ","$1,580 ","$1,430 "
"Lafayette County,  Mississippi","$255,480 ","$1,580 ","$1,410 "
"Spartanburg County,  South Carolina","$254,930 ","$1,570 ","$1,340 "
"York County,  Pennsylvania","$254,650 ","$1,570 ","$1,390 "
"Plaquemines Parish,  Louisiana","$254,540 ","$1,570 ","$1,470 "
"Somervell County,  Texas","$254,460 ","$1,570 ","$1,430 "
"Lapeer County,  Michigan","$254,380 ","$1,570 ","$1,380 "
"Amelia County,  Virginia","$254,370 ","$1,570 ","$1,360 "
"Bullitt County,  Kentucky","$254,080 ","$1,570 ","$1,400 "
"Asotin County,  Washington","$253,810 ","$1,570 ","$1,550 "
"White County,  Georgia","$253,590 ","$1,560 ","$1,350 "
"Churchill County,  Nevada","$253,350 ","$1,560 ","$1,480 "
"Rogers County,  Oklahoma","$253,110 ","$1,560 ","$1,380 "
"Fond du Lac County,  Wisconsin","$253,010 ","$1,560 ","$1,280 "
"Calumet County,  Wisconsin","$252,850 ","$1,560 ","$1,360 "
"Portage County,  Wisconsin","$252,820 ","$1,560 ","$1,340 "
"Shelby County,  Tennessee","$252,730 ","$1,560 ","$1,460 "
"Ward County,  North Dakota","$252,680 ","$1,560 ","$1,400 "
"Catoosa County,  Georgia","$252,640 ","$1,560 ","$1,320 "
"Greene County,  New York","$252,550 ","$1,560 ","$1,330 "
"Owyhee County,  Idaho","$252,520 ","$1,560 ","$1,440 "
"Kalamazoo County,  Michigan","$252,460 ","$1,560 ","$1,370 "
"Dickson County,  Tennessee","$252,330 ","$1,560 ","$1,420 "
"Dodge County,  Wisconsin","$252,270 ","$1,560 ","$1,340 "
"Cass County,  Nebraska","$251,800 ","$1,550 ","$1,360 "
"Banks County,  Georgia","$251,290 ","$1,550 ","$1,340 "
"Cass County,  Minnesota","$251,130 ","$1,550 ","$1,400 "
"Austin County,  Texas","$250,760 ","$1,550 ","$1,390 "
"Jefferson County,  Alabama","$250,730 ","$1,550 ","$1,380 "
"Iowa County,  Wisconsin","$250,730 ","$1,550 ","$1,340 "
"Franklin County,  Pennsylvania","$250,300 ","$1,540 ","$1,370 "
"Sevier County,  Utah","$250,200 ","$1,540 ","$1,390 "
"Madison County,  North Carolina","$250,120 ","$1,540 ","$1,370 "
"Anderson County,  South Carolina","$250,020 ","$1,540 ","$1,350 "
"Salem city,  Virginia","$249,970 ","$1,540 ","$1,350 "
"Randall County,  Texas","$249,940 ","$1,540 ","$1,400 "
"St. Charles Parish,  Louisiana","$249,820 ","$1,540 ","$1,440 "
"Fremont County,  Idaho","$249,760 ","$1,540 ","$1,420 "
"Dorchester County,  Maryland","$249,760 ","$1,540 ","$1,310 "
"Sweetwater County,  Wyoming","$249,520 ","$1,540 ","$1,400 "
"Rockbridge County,  Virginia","$249,460 ","$1,540 ","$1,350 "
"La Crosse County,  Wisconsin","$249,390 ","$1,540 ","$1,340 "
"Benton County,  Minnesota","$249,230 ","$1,540 ","$1,330 "
"Clinton County,  Michigan","$249,190 ","$1,540 ","$1,360 "
"Nicollet County,  Minnesota","$249,040 ","$1,540 ","$1,400 "
"Lincoln County,  Colorado","$248,790 ","$1,540 ","$1,380 "
"Troup County,  Georgia","$248,780 ","$1,530 ","$1,320 "
"Garfield County,  Utah","$248,530 ","$1,530 ","$1,380 "
"Billings County,  North Dakota","$248,490 ","$1,530 ","$1,380 "
"Union County,  Oregon","$248,420 ","$1,530 ","$1,410 "
